pdf_id,clube,fonte,titulo,url,arquivo,data_documento,ficheiro_texto,montantes_candidatos,taxas_candidatas,datas_candidatas,prazos_candidatos,extracao_validada,notas_extracao
021c50cd2bebe4a7,sporting,cmvm,Microsoft Word - DemonstraÃ§Ãµes Financeiras Sporting SAD Setembro 2019 vf,https://web3.cmvm.pt/sdi/emitentes/docs/PCT74010.pdf,https://arquivo.pt/wayback/20200102230711/https://web3.cmvm.pt/sdi/emitentes/docs/PCT74010.pdf,2020-01-02,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/021c50cd2bebe4a7.txt,1 | 201 | 202 | 2 | 9 | 10 | 11 | 12 | 13 | 14 | 15,"11% | 39% | 50% | 30% | 15% | 60% | 26,656% | 37,162% | 0,000% | 0,001% | 63,819% | 29,851%","1 de Julho de 2019 | 30 de Setembro de 2019 | 14
de Junho de 2018 | 31 de Agosto de 2019 | 2 de Setembro de 2019 | 1 de Setembro de 2019 | 30 de setembro de 2019 | 17 de Outubro de 2019 | 9 de Outubro de 2019 | 30 de Setembro de
2019 | 30 DE SETEMBRO DE 2019 | 1 de
Julho de 2019 | 29 de Novembro de 2019","12 anos | 25 anos | 1 ano | 1.500
Ano",0,
36b5d3fbdde805a3,sporting,cmvm,Microsoft Word - DemonstraÃ§Ãµes Financeiras Sporting SAD Dezembro 2019_v3,https://web3.cmvm.pt/sdi/emitentes/docs/PCS74662.pdf,https://arquivo.pt/wayback/20200411082443/https://web3.cmvm.pt/sdi/emitentes/docs/PCS74662.pdf,2020-04-11,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/36b5d3fbdde805a3.txt,1 | 201 | 202 | 2 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 57,"5% | 3% | 30% | 50% | 15% | 60% | 10% | 26,656% | 37,162% | 0,000% | 0,001%","1 de Julho de 2019 | 31 de Dezembro de 2019 | 14
de Junho de 2018 | 31 de Agosto de 2019 | 2 de Setembro de 2019 | 1 de Setembro de 2019 | 9 de Outubro de 2019 | 14 de
Novembro de 2014 | 31 DE DEZEMBRO DE 2019 | 29 de Janeiro de 2020 | 1 de
Julho de 2019 | 24 de Fevereiro de 2020 | 1 DE JULHO DE 2019",12 anos | 12 meses | 25 anos | 1 ano,0,
3d247de3efedff40,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR73508.pdf,https://arquivo.pt/wayback/20191116083710/https://web3.cmvm.pt/sdi/emitentes/docs/FR73508.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/3d247de3efedff40.txt,€67.000.000 | 1 | 201 | 23 604 000 | 503.994.499 | 2 | 249 | 30 | 627 630 | 252 | 20 | 627 727 | 129,,"1 de Outubro de 2019 | 30 de Junho de
2019",,0,
824cbee556c1b8b1,sporting,cmvm,Microsoft Word - Comunicado CMVM_mercado de verÃ£o_Out2019_VF,https://web3.cmvm.pt/sdi/emitentes/docs/FR73620.pdf,https://arquivo.pt/wayback/20191116083036/https://web3.cmvm.pt/sdi/emitentes/docs/FR73620.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/824cbee556c1b8b1.txt,"€67.000.000 | 1 | 201 | 23 604 000 | 503.994.499 | 248 | 0,2 | 100 | 45 | 30 | 06 | 202 | 7,5 | 1,25 | 0,175 | 60",100% | 50% | 20% | 10% | 25% | 40% | 30%,1 de Outubro de 2019 | 30/06/2022 | 30/06/2024 | 22 de Outubro de 2019,,0,
0ace34cbe863ad35,sporting,cmvm,,https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR45725.pdf,https://arquivo.pt/wayback/20200511135601/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR45725.pdf,2020-05-11,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/0ace34cbe863ad35.txt,"39 000 000 euros | 75.593.000 | 28 | 201 | 503 | 99 | 44 | 248 | 12 | 97 | 4 | 20.000.000,00 | 20.000.000 | 1 Euro | 18.000.000,00 | 18.000.000",4%,28 de Setembro de 2012 | 12 de Abril de 2013 | 21 de Junho de 2013,12 anos,0,
35e4a18858583703,sporting,cmvm,"SPORTING – SOCIEDADE DESPORTIVA DE FUTEBOL, SAD",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR55546.pdf,https://arquivo.pt/wayback/20200416013502/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR55546.pdf,2020-04-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/35e4a18858583703.txt,"€67.000.000 | 1 | 201 | 118.030.000 | 31 | €11.616.387,59 | 503.994.499 | 248 | 85 milhões | 2 | 4,9 milhões | 30 milhões | 3 | 13 | 43,5 milhões",,1 de Outubro de 2014 | 31 de Dezembro de 2014 | 11 de Maio de 2015,,0,
30e268f683cd7a3f,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR75255.pdf,https://arquivo.pt/wayback/20200416175009/https://web3.cmvm.pt/sdi/emitentes/docs/FR75255.pdf,2020-04-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/30e268f683cd7a3f.txt,€67.000.000 | 1 | 201 | 23 604 000 | 503.994.499 | 248 | 30 | 202 | 19 | 11 | 2 | 20 | 21 | 3 | 4 | 10 | 26,95% | 50% | 40%,1 de Outubro de 2019 | 30 de Janeiro de 2020 | 11 de Março de 2020 | 15 de Abril de 2020,30 dias,0,
900659ecee48e78a,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR73438.pdf,https://arquivo.pt/wayback/20191116083935/https://web3.cmvm.pt/sdi/emitentes/docs/FR73438.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/900659ecee48e78a.txt,"EUR 67.000.000,00 | 29 | 201 | 13 324 000 | 503 994 499 | 248 | 202 | 27",,29 de setembro de 2018 | 27 de Setembro de 2019,,0,
9de9cd9b6eb55c4e,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR74692.pdf,https://arquivo.pt/wayback/20200605010540/https://web3.cmvm.pt/sdi/emitentes/docs/FR74692.pdf,2020-06-05,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/9de9cd9b6eb55c4e.txt,"€67.000.000 | 1 | 201 | 23 604 000 | 503.994.499 | 248 | 10.000.000,00 | 5 | 202",,1 de Outubro de 2019 | 5 de Março de 2020,,0,
3b2214ccfcebf908,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR73187.pdf,https://arquivo.pt/wayback/20191116084641/https://web3.cmvm.pt/sdi/emitentes/docs/FR73187.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/3b2214ccfcebf908.txt,"EUR 67.000.000,00 | 29 | 201 | 13 324 000 | 503 994 499 | 248 | €7.000.000 | 02",,29 de setembro de 2018 | 02 de Setembro de 2019,,0,
fd6df0f68d2b63d6,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR77074.pdf,https://arquivo.pt/wayback/20200930200333/https://web3.cmvm.pt/sdi/emitentes/docs/FR77074.pdf,2020-09-30,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/fd6df0f68d2b63d6.txt,€67.000.000 | 29 | 202 | 9.897.000 | 503.994.499 | 2 | 249 | 1 | 30 | 245 | 627.705 | 336 | 630.766,,"29 de Setembro de 2020 | 30 de Junho de
2020 | 27 de Março de 2020 | 30 de Setembro de 2020",,0,
8b7de2b97155f021,sporting,cmvm,,https://web3.cmvm.pt:80/sdi/emitentes/docs/PC69608.pdf,https://arquivo.pt/wayback/20200605050748/https://web3.cmvm.pt:80/sdi/emitentes/docs/PC69608.pdf,2020-06-05,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/8b7de2b97155f021.txt,201 | 17 | 1 | 3 | 7 | 28 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 153 | 161 | 164 | 18 | 2,"25% | 9
% | 100% | 22% | 3% | 13% | 8% | 4% | 50% | 35% | 17,5% | 60%","1 de Julho de 2017 | 30 de Junho
de 2018 | 29 de Setembro de 2017 | 30 de
Junho de 2018 | 14 de
Junho de 2018 | 13 de Julho de 2018 | 30 de Junho de 2018 | 1 de Outubro de 2014 | 1 de Abril de 2015 | 31 de Maio de 2015 | 27 de Abril de 2016 | 23 de Junho de 2018 | 27 de Junho de 2018 | 5 de Junho de 2018 | 26 de Junho de 2018 | 20 de Maio
de 2018 | 24 de Maio de 2018",18 anos | 16 anos | 14 anos | 12 anos | 5 anos,0,
c8fffaeac2d7341b,sporting,cmvm,2,https://web3.cmvm.pt:80/sdi2004/emitentes/docs/PC35509.pdf,https://arquivo.pt/wayback/20191018025205/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/PC35509.pdf,2019-10-18,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/c8fffaeac2d7341b.txt,201 | 2 | 3 | 8 | 10 | 11 | 14 | 26 | 27 | 28 | 29 | 86 | 87 | 88 | 89 | 90,"3% | 50% | 59,07 % | 000 % | 4,2% | 6,8% | 14,9% | 22,5% | 27,9% | 41,3% | 548,3% | 21,3% | 48,1% | 143,5% | 16,3% | 0,5% | 3,0% | 28,2% | 963,3% | 489,5%","1 de Julho de 2010 | 30 de Junho de 2011 | 30 de Novembro de 2009 | 15
de Janeiro de 2011 | 26 de Março de 2011 | 18 de Maio de 2011 | 29 de Março de 2011 | 9 de Fevereiro de 2011 | 2 de Março de 2011 | 29 de Setembro de 2010 | 15 de Janeiro de 2011 | 28 de Março de 2011 | 26 de Abril de
2011 | 18 de Agosto de 2010 | 6 de Julho de 2010","15 anos | 5 anos | 3 dias | 5 dias | 3 anos | 15 dias | 60 dias | 12 meses | 1
ano | 2 anos",0,
63e332512306416c,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR73232.pdf,https://arquivo.pt/wayback/20191116084543/https://web3.cmvm.pt/sdi/emitentes/docs/FR73232.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/63e332512306416c.txt,"EUR 67.000.000,00 | 29 | 201 | 13 324 000 | 503 994 499 | 248 | 05",,29 de setembro de 2018 | 05 de Setembro de 2019,,0,
fd98c4eb1d6878af,sporting,cmvm,,https://web3.cmvm.pt:80/sdi/emitentes/docs/FR72192.pdf,https://arquivo.pt/wayback/20190921155424/https://web3.cmvm.pt:80/sdi/emitentes/docs/FR72192.pdf,2019-09-21,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/fd98c4eb1d6878af.txt,€67.000.000 | 30 | 201 | 13 324 000 | 503.994.499 | 248 | 1 | €22.500.000 | 2 | €7.500.000 | 50 | 14,50%,30 de Setembro de 2018 | 14 de Maio de 2019,,0,
be78b062fea5d03d,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR73560.pdf,https://arquivo.pt/wayback/20191116083450/https://web3.cmvm.pt/sdi/emitentes/docs/FR73560.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/be78b062fea5d03d.txt,"€67.000.000 | 1 | 201 | 23 604 000 | 503.994.499 | 248 | 0,30 | 50 | 30 | 15 | 60 | 20 | 10 | 9",50% | 30% | 15% | 60% | 20% | 10%,1 de Outubro de 2019 | 9 de Outubro de 2019,,0,
54178b0136d93a86,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR73561.pdf,https://arquivo.pt/wayback/20191116083446/https://web3.cmvm.pt/sdi/emitentes/docs/FR73561.pdf,2019-11-16,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/54178b0136d93a86.txt,"€67.000.000 | 1 | 201 | 23 604 000 | 503.994.499 | 248 | 0,30 | 50 | 30 | 15 | 60 | 9",50% | 30% | 15% | 60%,1 de Outubro de 2019 | 9 de Outubro de 2019,,0,
074cb00022e6c1ac,sporting,cmvm,2,https://web3.cmvm.pt:80/sdi2004/emitentes/docs/PC46780.pdf,https://arquivo.pt/wayback/20200511135457/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/PC46780.pdf,2020-05-11,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/074cb00022e6c1ac.txt,,,,,0,
973dbc4d3df6a29b,sporting,cmvm,2,https://web3.cmvm.pt:80/sdi2004/emitentes/docs/PCT36529.pdf,https://arquivo.pt/wayback/20200512131521/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/PCT36529.pdf,2020-05-12,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/973dbc4d3df6a29b.txt,,,,,0,
4623321a46f1e406,sporting,cmvm,,https://web3.cmvm.pt/sdi/emitentes/docs/FR74426.pdf,https://arquivo.pt/wayback/20200510082715/https://web3.cmvm.pt/sdi/emitentes/docs/FR74426.pdf,2020-05-10,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/4623321a46f1e406.txt,"€67.000.000 | 1 | 201 | 23 604 000 | 503.994.499 | 248 | 10 | 55.000.000,00 | 25.000.000,00 | 5.000.000,00 | 15.000.000,00 | 5.500.000,00 | 29 | 202",10%,1 de Outubro de 2019 | 29 de Janeiro de 2020,,0,
