fonte,host,clube,query,url,arquivo,tstamp,titulo,data_documento,pdf_id,ficheiro_pdf,ficheiro_texto
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR34462.pdf,https://arquivo.pt/wayback/20200511135425/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR34462.pdf,20200511135425,Microsoft Word - Rescisao_AVB_21-06-2011.docx,2020-05-11,4f79e02d5d6187d3,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/4f79e02d5d6187d3.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/4f79e02d5d6187d3.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/FR18567.pdf,https://arquivo.pt/wayback/20200511185941/https://web3.cmvm.pt/sdi2004/emitentes/docs/FR18567.pdf,20200511185941,Microsoft Word - Venda_Bosingwa_11-05-2008.doc,2020-05-11,2322d40c0ac8e393,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/2322d40c0ac8e393.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/2322d40c0ac8e393.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR14204.pdf,https://arquivo.pt/wayback/20200511135506/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR14204.pdf,20200511135506,Microsoft Word - Venda_Pepe_ 10Jul07.doc,2020-05-11,275cdcec0b9f0937,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/275cdcec0b9f0937.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/275cdcec0b9f0937.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR22412.pdf,https://arquivo.pt/wayback/20200511135141/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR22412.pdf,20200511135141,Microsoft Word - Comunicado_Resultados_1S08.doc,2020-05-11,68aa2fb3c0e3e775,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/68aa2fb3c0e3e775.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/68aa2fb3c0e3e775.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/FR24203.pdf,https://arquivo.pt/wayback/20200511190106/https://web3.cmvm.pt/sdi2004/emitentes/docs/FR24203.pdf,20200511190106,Microsoft Word - Compra_Alvaro_Pereira_04-06-2009.doc,2020-05-11,19b3c23baf020345,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/19b3c23baf020345.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/19b3c23baf020345.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi/emitentes/docs/fsd297248.pdf,https://arquivo.pt/wayback/20190914132129/https://web3.cmvm.pt:80/sdi/emitentes/docs/fsd297248.pdf,20190914132129,OPS FC Porto SAD 2017 - Prospeto-1 compared with OPS FC Porto SAD 2017 - Prospeto_(DM 5246655_11)_MI,2019-09-14,fb8ced63be278e76,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/fb8ced63be278e76.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/fb8ced63be278e76.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi/emitentes/docs/fsd297248.pdf,https://arquivo.pt/wayback/20181018030757/http://web3.cmvm.pt/sdi/emitentes/docs/fsd297248.pdf,20181018030757,OPS FC Porto SAD 2017 - Prospeto-1 compared with OPS FC Porto SAD 2017 - Prospeto_(DM 5246655_11)_MI,2018-10-18,279059e86ab23fbf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/279059e86ab23fbf.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/279059e86ab23fbf.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/TRAN47510.pdf,https://arquivo.pt/wayback/20151206202438/http://web3.cmvm.pt/sdi2004/emitentes/docs/TRAN47510.pdf,20151206202438,Microsoft Word - Accoes_Presidente_5000_12-11-2013.docx,2015-12-06,125bfec8090d76ba,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/125bfec8090d76ba.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/125bfec8090d76ba.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd25963.pdf,https://arquivo.pt/wayback/20170221175357/http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd25963.pdf,20170221175357,FCP,2017-02-21,7c4e6c18de2df23b,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/7c4e6c18de2df23b.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/7c4e6c18de2df23b.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/FR15900.pdf,https://arquivo.pt/wayback/20170221181454/http://web3.cmvm.pt/sdi2004/emitentes/docs/FR15900.pdf,20170221181454,Microsoft Word - Comunicado_1T07.doc,2017-02-21,2fcb021d91a410db,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/2fcb021d91a410db.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/2fcb021d91a410db.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd12189.pdf,https://arquivo.pt/wayback/20170221182954/http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd12189.pdf,20170221182954,Microsoft Word - Comunicado_1T07.doc,2017-02-21,ea37b4057819b25d,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/ea37b4057819b25d.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/ea37b4057819b25d.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/fsd25963.pdf,https://arquivo.pt/wayback/20190921150707/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/fsd25963.pdf,20190921150707,FCP,2019-09-21,5b3bf8186483f5b3,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/5b3bf8186483f5b3.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/5b3bf8186483f5b3.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/fsd12189.pdf,https://arquivo.pt/wayback/20190420182933/https://web3.cmvm.pt/sdi2004/emitentes/docs/fsd12189.pdf,20190420182933,Microsoft Word - Comunicado_1T07.doc,2019-04-20,ea37b4057819b25d,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/ea37b4057819b25d.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/ea37b4057819b25d.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR15900.pdf,https://arquivo.pt/wayback/20200511135414/https://web3.cmvm.pt:80/sdi2004/emitentes/docs/FR15900.pdf,20200511135414,Microsoft Word - Comunicado_1T07.doc,2020-05-11,8a9f1263f87072b8,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/8a9f1263f87072b8.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/8a9f1263f87072b8.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd52107.pdf,https://arquivo.pt/wayback/20170221180147/http://web3.cmvm.pt/sdi2004/emitentes/docs/fsd52107.pdf,20170221180147,SLB,2017-02-21,2ce906a6e4c589fb,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/2ce906a6e4c589fb.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/2ce906a6e4c589fb.txt
cmvm,web3.cmvm.pt,porto,"""Futebol Clube do Porto - Futebol SAD""",https://web3.cmvm.pt/sdi2004/emitentes/docs/fsd52107.pdf,https://arquivo.pt/wayback/20190420180613/https://web3.cmvm.pt/sdi2004/emitentes/docs/fsd52107.pdf,20190420180613,SLB,2019-04-20,2ce906a6e4c589fb,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/raw_pdf/2ce906a6e4c589fb.pdf,/content/drive/MyDrive/Colab Notebooks/projeto_nlp/textos_pdf/2ce906a6e4c589fb.txt
